name,url
PG One,https://rapzh.com/artists/pg-one
红花会,https://rapzh.com/artists/hong-hua-hui
法老,https://rapzh.com/artists/mc-fa-lao
Jony J,https://rapzh.com/artists/jony-j
Higher Brothers,https://rapzh.com/artists/higher-brothers
PO8,https://rapzh.com/artists/po8
安全着陆,https://rapzh.com/artists/an-quan-zhuo-lu
Straight Fire Gang 直火帮,https://rapzh.com/artists/straight-fire-gang-zhi-huo-bang
3Bangz,https://rapzh.com/artists/3bangz
艾福杰尼,https://rapzh.com/artists/ai-fu-jie-ni
王以太,https://rapzh.com/artists/wang-yi-tai
艾热AIR,https://rapzh.com/artists/ai-re
那吾克热,https://rapzh.com/artists/na-wu-ke-re-lil-em
刘柏辛Lexie,https://rapzh.com/artists/liu-bai-xin-lexie
姜云升,https://rapzh.com/artists/jiang-yun-sheng
Toy王奕,https://rapzh.com/artists/toy-wang-yi
满舒克,https://rapzh.com/artists/man-shu-ke
派克特（PACT）,https://rapzh.com/artists/pai-ke-te-pact
AR 刘夫阳,https://rapzh.com/artists/ar-liu-fu-yang
黄硕N-Bomb,https://rapzh.com/artists/huang-shuo-n-bomb
红花会贝贝,https://rapzh.com/artists/hong-hua-hui-bei-bei
J-Sleeper性感的拖鞋,https://rapzh.com/artists/j-sleeper-xing-gan-de-tuo-xie
功夫胖KungFuPen,https://rapzh.com/artists/gong-fu-pang-kungfupen
杨和苏KeyNG,https://rapzh.com/artists/yang-he-su-keyng
谢帝,https://rapzh.com/artists/xie-di
幼稚园杀手,https://rapzh.com/artists/you-zhi-yuan-sha-shou
李迦南Doc,https://rapzh.com/artists/li-jia-nan-doc
BooM黄旭,https://rapzh.com/artists/boom-huang-xu
蜉蝣Wh,https://rapzh.com/artists/fu-you-wh
福克斯,https://rapzh.com/artists/fu-ke-si
吴亦凡,https://rapzh.com/artists/kris-wu-yi-fan
万妮达,https://rapzh.com/artists/vinida-wan-ni-da
布瑞吉Bridge,https://rapzh.com/artists/bu-rui-ji-bridge
G.E.M.邓紫棋,https://rapzh.com/artists/gem-deng-zi-qi
MC Hotdog 热狗,https://rapzh.com/artists/mc-hotdog
黑羊,https://rapzh.com/artists/hei-yang
Mc光光,https://rapzh.com/artists/mc-guang-guang
李佳隆,https://rapzh.com/artists/li-jia-long
鬼卞,https://rapzh.com/artists/gui-bian
龙胆紫 PurpleSoul,https://rapzh.com/artists/long-dan-zi-purplesoul
龙井说唱,https://rapzh.com/artists/long-jing-shuo-chang
AY楊佬叁,https://rapzh.com/artists/ay-yang-lao-san
狠毒男孩,https://rapzh.com/artists/hen-du-nan-hai
徐真真,https://rapzh.com/artists/xu-zhen-zhen
LOKEY低调组合,https://rapzh.com/artists/lokey-di-tiao-zu-he
王齐铭 WatchMe,https://rapzh.com/artists/wang-qi-ming-watchme
西奥Sio,https://rapzh.com/artists/xi-ao-sio
长气制作,https://rapzh.com/artists/chang-qi-zhi-zuo
周汤豪,https://rapzh.com/artists/zhou-tang-hao
PRC 巴音汗,https://rapzh.com/artists/prc-ba-yin-han
王嘉尔,https://rapzh.com/artists/jackson-wang
辉子,https://rapzh.com/artists/hui-zi
MC马俊,https://rapzh.com/artists/mc-ma-jun
呆宝静,https://rapzh.com/artists/dai-bao-jing
王愚,https://rapzh.com/artists/wang-yu
小青龙,https://rapzh.com/artists/xiao-qing-long
朴宰范,https://rapzh.com/artists/jay-park
顽童Mj116,https://rapzh.com/artists/wan-tong-mj116
KEY.L刘聪,https://rapzh.com/artists/keyl
陈彼得,https://rapzh.com/artists/peter-chen
小老虎,https://rapzh.com/artists/xiao-lao-hu
廿四味,https://rapzh.com/artists/24herbs
国蛋,https://rapzh.com/artists/guo-dan
陈冠希,https://rapzh.com/artists/chen-guan-xi
寿君超Keyso,https://rapzh.com/artists/shou-jun-chao-keyso
郑建鹏,https://rapzh.com/artists/zheng-jian-peng
徐圣恩,https://rapzh.com/artists/xu-sheng-en
合肥之子,https://rapzh.com/artists/he-fei-zhi-zi
洛天依,https://rapzh.com/artists/luo-tian-yi
孔令奇,https://rapzh.com/artists/kong-ling-qi
连麻Swimming,https://rapzh.com/artists/lian-ma-swimming
欧阳靖,https://rapzh.com/artists/mc-jin
天府事变CDREV,https://rapzh.com/artists/tian-fu-shi-bian-cdrev
廖效浓,https://rapzh.com/artists/liao-xiao-nong
农夫,https://rapzh.com/artists/nong-fu
泥鳅Zinco,https://rapzh.com/artists/ni-qiu-zinco
小艾EYE,https://rapzh.com/artists/xiao-ai-eye
