song_name	rapper	url
兰州拉面	3Bangz	https://rapzh.com/songs/1574
给你弄点儿尿喝喝	3Bangz	https://rapzh.com/songs/1572
六一儿童节	3Bangz	https://rapzh.com/songs/1577
意淫天王 Freestyle	3Bangz	https://rapzh.com/songs/1594
Next Step	那吾克热	https://rapzh.com/songs/157687
Brother	那吾克热	https://rapzh.com/songs/157680
We Are Back	那吾克热	https://rapzh.com/songs/157684
Jawabim	那吾克热	https://rapzh.com/songs/157677
Ayqim Nede	那吾克热	https://rapzh.com/songs/157683
Musape	那吾克热	https://rapzh.com/songs/157679
kki Shapilaq	那吾克热	https://rapzh.com/songs/157674
Tamche Yash	那吾克热	https://rapzh.com/songs/157678
Muqeddime	那吾克热	https://rapzh.com/songs/157673
Her	刘柏辛Lexie	https://rapzh.com/songs/6781
Love on top	刘柏辛Lexie	https://rapzh.com/songs/6782
Gonna Fuck It (Re-Recorded)	黄硕N-Bomb	https://rapzh.com/songs/3762
废铜烂铁 - feat.秦浩燃	黄硕N-Bomb	https://rapzh.com/songs/3760
孩子的歌	功夫胖KungFuPen	https://rapzh.com/songs/38336
躺椅（Laid Back）	功夫胖KungFuPen	https://rapzh.com/songs/63908
很久很久 (伴奏)	杨和苏KeyNG	https://rapzh.com/songs/3986771
让我快乐 (伴奏)	杨和苏KeyNG	https://rapzh.com/songs/2394479
绝世武神(伴奏)	谢帝	https://rapzh.com/songs/1497
中国魂	吴亦凡	https://rapzh.com/songs/153353
One Button	G.E.M.邓紫棋	https://rapzh.com/songs/157594
谢谢哑虎(伴奏) - instrumental	MC Hotdog 热狗	https://rapzh.com/songs/1643
轮回	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626884
Underground	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626885
BJC	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626886
我不相信	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626887
Goldie	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626888
Beijing Zoo	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626889
立交桥	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626890
地下通道	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626891
路灯	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626892
怪塔儿哥 feat.Ijapa	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626893
英年早逝	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626894
落叶归根	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626895
传奇继续	龙胆紫 PurpleSoul	https://rapzh.com/songs/41626896
聊骚妹儿(acappella)	狠毒男孩	https://rapzh.com/songs/40843
Howie Lee - 婚前性行为是情网 (Ft. 狠毒男孩, 3Bangz ,Bloodz Boi &amp; 张学友)	狠毒男孩	https://rapzh.com/songs/40863
西兰花(acappella)	狠毒男孩	https://rapzh.com/songs/40842
喝大力(acappella)	狠毒男孩	https://rapzh.com/songs/40848
聊骚妹儿3016[Prod. By DAMACHA]	狠毒男孩	https://rapzh.com/songs/40855
兰州拉面(acappella)	狠毒男孩	https://rapzh.com/songs/40844
大头儿子(acappella)	狠毒男孩	https://rapzh.com/songs/40847
牙科诊所	狠毒男孩	https://rapzh.com/songs/40883
太三俗啦	狠毒男孩	https://rapzh.com/songs/40880
包青天+acapella	狠毒男孩	https://rapzh.com/songs/40874
吆吆零Ft.PSY.P.宋祖英吆吆零[Prod. By 请你尊重猫咪]	狠毒男孩	https://rapzh.com/songs/40860
大傻逼	徐真真	https://rapzh.com/songs/59458
大票子ft. 西街熊	徐真真	https://rapzh.com/songs/1252
他们都把我们当榜样ft.狠毒男孩	徐真真	https://rapzh.com/songs/1249
爬 (纯音乐)	LOKEY低调组合	https://rapzh.com/songs/38141
爬 (伴奏)	LOKEY低调组合	https://rapzh.com/songs/38140
死去之后从头再来(Skit)	西奥Sio	https://rapzh.com/songs/3705
住进你心里	长气制作	https://rapzh.com/songs/6478
Airmate (伴奏)	辉子	https://rapzh.com/songs/1455
她 (Instrumental produced by 王愚)	王愚	https://rapzh.com/songs/17309
Fire In The Hole (伴奏)	小青龙	https://rapzh.com/songs/84476
SUN	小青龙	https://rapzh.com/songs/192728
红面线 feat. LC (YELLA BOYZ)	顽童Mj116	https://rapzh.com/songs/2854
我可爱的她呀在哪里 - 完整版	陈彼得	https://rapzh.com/songs/1889
地球是我家 - 完整版	陈彼得	https://rapzh.com/songs/1888
香蕉啊香蕉	小老虎	https://rapzh.com/songs/46771
One Night In DI	廿四味	https://rapzh.com/songs/6455
Respect Tou PK remix - remix	廿四味	https://rapzh.com/songs/6460
Keeping It Raw	廿四味	https://rapzh.com/songs/6456
Now or never	国蛋	https://rapzh.com/songs/666
Dr.Paper	国蛋	https://rapzh.com/songs/645
Siri	徐圣恩	https://rapzh.com/songs/406778
观 (伴奏)	徐圣恩	https://rapzh.com/songs/406835
14 SKIP.2（配器;洞箫 演奏：毕冉）	合肥之子	https://rapzh.com/songs/15900
手机录《晚霞》demo，尺八演奏	合肥之子	https://rapzh.com/songs/15907
南柯一梦(by：ronsupreme)	连麻Swimming	https://rapzh.com/songs/561944
160块(kevin katana)	连麻Swimming	https://rapzh.com/songs/561930
Money Comes, Money Goes	欧阳靖	https://rapzh.com/songs/1411
Upside Down	欧阳靖	https://rapzh.com/songs/1421
姐姐那么好-instrumental	天府事变CDREV	https://rapzh.com/songs/63460
Noisemaker李逵 - 9月Mix	嘿人李逵Noisemakers	https://rapzh.com/songs/1234294
给我 (Prod. By Zikynuel)	嘿人李逵Noisemakers	https://rapzh.com/songs/1234006
미안미안해	太真儿	https://rapzh.com/songs/92068
안다미	太真儿	https://rapzh.com/songs/92463
장지기장 MR	太真儿	https://rapzh.com/songs/92053
잘났어 정말	太真儿	https://rapzh.com/songs/92290
남자라는 이유로	太真儿	https://rapzh.com/songs/92323
사랑해요(리메이크)	太真儿	https://rapzh.com/songs/92337
사랑의 이름표	太真儿	https://rapzh.com/songs/92272
잘났어 정말	太真儿	https://rapzh.com/songs/92374
고목나무	太真儿	https://rapzh.com/songs/92137
사람팔자 (MR)	太真儿	https://rapzh.com/songs/92088
잘났어 정말	太真儿	https://rapzh.com/songs/92283
미안 미안해	太真儿	https://rapzh.com/songs/92424
사랑타령	太真儿	https://rapzh.com/songs/92060
남자라는 이유로	太真儿	https://rapzh.com/songs/92250
반갑습니다	太真儿	https://rapzh.com/songs/92376
国王的新嘻哈(嘻哈版)	潘玮柏	https://rapzh.com/songs/157415
你要哦该咯	大傻DamnShine	https://rapzh.com/songs/39204
Fuckin Mixtape - remix	MC仁	https://rapzh.com/songs/6491
Some Hurts (伴奏)	许馨文	https://rapzh.com/songs/207865
谁是绿茶婊	新街口	https://rapzh.com/songs/2502
